_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
663eae98866cd8bb79863eb3,,51.67,95,51.67,59.98,372;0;0;0,quote,2325,2,2,86.39,0,26.56,false,false,english,none,normal,false,false,false,,1715383960000
663eade1866cd8bb79863ace,,49.9,96.48,49.9,52.94,354;0;0;0,quote,3536,2,1,85.13,0,1.64,false,false,english,none,normal,false,false,false,,1715383777000
663db292866cd8bb797b514a,true,51.86,94.34,53.02,62.25,405;0;0;1,custom,custom,-1,1,93.71,0,1.12,false,false,english,none,normal,false,false,false,,1715319442000
663db19f866cd8bb797b49a0,,58.24,95,58.24,65.1,492;0;0;0,quote,4129,2,1,101.38,0,0.93,false,false,english,none,normal,false,false,false,,1715319199000
663db12e866cd8bb797b4625,,56.78,95.27,56.78,66.15,383;0;0;0,quote,2189,2,0,80.94,0,0,false,false,english,none,normal,false,false,false,,1715319086000
663db0d5866cd8bb797b4372,,71.19,98.9,71.19,78.75,89;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1715318997000
663b2511866cd8bb795f4a63,,75.17,100,75.17,85.18,94;0;0;0,time,15,-1,7,15.01,0,38.21,false,false,english,none,normal,false,false,false,,1715152145000
65ee8b06d7bfb8ea57438225,,70.39,100,70.39,71.57,88;0;0;0,time,15,-1,3,15,0,24.94,false,false,english,none,normal,false,false,false,,1710131974000
65ee8a88d7bfb8ea57437e15,,67.16,95.1,67.16,64.52,136;0;0;0,words,25,-1,0,24.3,0,0,false,false,english,none,normal,false,false,false,,1710131848000
65ee8a67d7bfb8ea57437d33,,57.52,96.3,57.52,67.12,127;0;0;0,words,25,-1,13,26.5,0,84.22,false,false,english,none,normal,false,false,false,,1710131815000
65ee89a9d7bfb8ea574377e7,,74.22,97.76,77.69,77.31,128;2;0;0,words,25,-1,0,20.7,0,0,false,false,english,none,normal,false,false,false,,1710131625000
